,tweet,existence,existence.confidence
0,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",1,1.0
1,Fighting poverty and global warming in Africa [link],1,1.0
2,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,0.8786
3,Carbon offsets: How a Vatican forest failed to reduce global warming [link],1,1.0
4,URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],1,0.8087
5,RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],1,1.0
6,Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1,1.0
7,Migratory Birds' New Climate Change Strategy: Stay Home [link],1,1.0
8,Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],1,1.0
9,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",1,1.0
10,How do we solve this global warming thing? [link],1,0.9073
11,Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link],1,1.0
12,Ecotone: #Climate change from a #population perspective [link],1,0.5488
13,Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link],1,0.8823
15,"Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]",1,0.75
16,For #EarthDay Global warming could affect patient symptoms [link],1,1.0
17,"Wait here's an idea: it's natural climate change, not human induced global warming. [link]",0,0.6648
18,EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link],1,1.0
19,QUT researchers track climate change [link],1,0.5194
20,"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]",1,1.0
21,"Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]",1,1.0
22,"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]",1,1.0
23,"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw",1,1.0
24,@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,1,0.8771
25,effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link],1,0.8887
26,It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html,1,0.5247
27,A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link],1,1.0
28,SCIENCE: Scientists explore the evolution of climate change [link],1,0.7749
29,"Eaarth: global warming is here to stay, how will we deal with it? [link]",1,1.0
30,Allergies Worse Than Ever? Blame Global Warming [link],1,1.0
31,@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot,0,0.8197
32,Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link],0,0.9183
33,the scientific community was scamed by global green  gov warming scam.,0,0.9336
35,40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.,0,1.0
36,"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot",0,1.0
37,#justinbiebersucks and global warming is a farce,0,1.0
38,"One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]",0,0.9174
39,"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2",0,1.0
41,Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!,0,0.8185
42,@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin,0,0.8892
43,"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]",0,0.8427
44,"Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]",0,0.9368
45,computer forensics experts: are there still any idiots out there that belive global warming is true? [link],0,0.9318
46,Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link],0,1.0
49,Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link],1,0.7774
57,"Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]",1,0.6812
60,Check this video out -- The Business of Climate Change Conference 2009 [link],1,1.0
64,@SooperMexican Global warming. Clearly.,1,0.6061
69,@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.,1,0.5978
72,Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link],1,0.7971
83,Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link],1,0.7774
86,"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]",0,1.0
88,"Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]",1,0.5670000000000001
90,Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link],1,0.5971
91,LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link],1,0.8221
92,Plan B: California Braces for Climate Change. [link],1,0.5121
93,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",1,0.7967
94,"@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming",1,0.6122
95,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",1,0.7925
96,Climate change & sustainability will be a key driver of future economic development. Listen at [link],1,0.7874
97,Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech,1,0.5778
98,US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link],1,1.0
99,Even the generals know climate change is going to screw us. [link],1,1.0
100,"Government Report Says Global Warming May Cause Cancer, Mental Illness [link]",1,0.6224
101,"RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]",1,0.8157
102,RT @sciencedaily: Plants remain an effective way of tackling global warming [link],1,1.0
103,"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""",1,1.0
104,RT @Newsweek: Global Warming Kills Forests In Colorado [link],1,1.0
105,EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link],1,1.0
106,"Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]",1,0.7853
107,RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link],1,0.8275
108,@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!,1,1.0
110,"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]",1,0.7949
111,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",1,0.6021
113,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",1,0.5763
114,"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]",1,1.0
115,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",1,0.8243
116,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",1,0.6065
117,CLIMATE CHANGE: Forests Not for Absorbing Carbon [link],1,1.0
118,"RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",1,0.5857
119,"What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",1,0.6105
120,"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]",1,1.0
121,Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],1,1.0
122,Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],1,0.8166
123,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",1,0.6329
124,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",1,1.0
125,Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],1,1.0
126,Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],1,1.0
127,RT @Newsweek: Global Warming Kills Forests In Colorado [link],1,1.0
128,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",1,0.6448
129,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",1,0.8133
130,South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link],1,0.5862
131,"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]",1,1.0
132,James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link],1,0.5699
133,I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link],1,0.8190000000000001
134,Report: Save the Whales and They'll Save Us from Global Warming [link],1,0.823
136,Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link],1,1.0
137,"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]",1,1.0
138,#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link],1,0.7896
139,RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link],1,0.617
140,RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link],1,0.7868
141,Global warming science good news - Soils release less carbon than though as world warms: [link],1,0.8236
142,"So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !",1,0.7863
143,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",1,1.0
144,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",1,1.0
146,Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link],1,0.7835
148,"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""",1,0.8121
150,RT @Newsweek: Global Warming Kills Forests In Colorado [link],1,1.0
151,RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link],1,1.0
153,RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!,1,0.774
154,How much trouble does global warming mean for agriculture? Just ask the wine industry. [link],1,1.0
155,Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link],1,1.0
156,"Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]",1,1.0
158,"M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...",1,0.8018
159,RT @Newsweek: Global Warming Kills Forests In Colorado [link],1,1.0
160,"Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]",1,1.0
161,Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link],1,1.0
162,"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... [link]",1,1.0
164,"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",1,1.0
165,"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",1,1.0
166,Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link],1,0.8017
167,Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],1,1.0
168,Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],1,1.0
169,"Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]",1,0.8149
170,RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link],1,0.6484
171,RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link],1,1.0
172,scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link],1,1.0
174,RT @Newsweek: Global Warming Kills Forests In Colorado [link],1,1.0
175,MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link],1,0.7884
177,Global Warming Kills Forests In Colorado [link],1,1.0
178,Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link],1,0.599
179,Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link],1,0.8814
181,"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",1,1.0
182,"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",1,0.7759999999999999
183,Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],1,1.0
184,Official NASA Report: Sun Causes Climate Change:  [link],1,1.0
185,RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],1,0.6584
186,RT @sciam: Impacts of Climate Change Extend to Human Health [link],1,1.0
187,Impacts of Climate Change Extend to Human Health [link],1,1.0
189,Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link],1,0.8256
191,"Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]",1,0.634
192,Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link],1,0.6458
193,"Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]",1,1.0
194,African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link],1,0.5944
195,Economists Say Climate Change Is Bad For Economy [link],1,0.7866
196,Economists Say Climate Change Is Bad For Economy [link],1,0.6459999999999999
197,Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],1,0.8170000000000001
198,Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link],1,1.0
199,RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],1,0.5976
200,"Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]",1,0.6359
201,RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],1,1.0
202,"ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect",1,1.0
203,Earth Day: Ben Verwaayen on what we're doing to curb climate change [link],1,0.8136
204,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],1,1.0
205,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],1,0.8078
206,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],1,0.8221
207,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],1,1.0
209,10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],1,0.6015
